tick,population,average_age,collisions,deaths_collision,deaths_age,births_clone,births_spontaneous
509,8,150.5,0,0,0,0,0
510,8,151.5,0,0,0,0,0
511,9,135.556,0,0,0,1,0
512,8,118.5,1,1,0,0,0
513,8,119.5,0,0,0,0,0
514,8,120.5,0,0,0,0,0
515,8,121.5,0,0,0,0,0
516,8,122.5,0,0,0,0,0
517,8,123.5,0,0,0,0,0
518,8,124.5,0,0,0,0,0
519,8,125.5,0,0,0,0,0
520,8,126.5,0,0,0,0,0
521,8,127.5,0,0,0,0,0
522,8,128.5,0,0,0,0,0
523,8,129.5,0,0,0,0,0
524,8,130.5,0,0,0,0,0
525,8,131.5,0,0,0,0,0
526,8,132.5,0,0,0,0,0
527,8,133.5,0,0,0,0,0
528,8,134.5,0,0,0,0,0
529,8,135.5,0,0,0,0,0
530,8,136.5,0,0,0,0,0
531,8,137.5,0,0,0,0,0
532,8,138.5,0,0,0,0,0
533,8,139.5,0,0,0,0,0
534,8,140.5,0,0,0,0,0
535,8,141.5,0,0,0,0,0
536,8,142.5,0,0,0,0,0
537,8,143.5,0,0,0,0,0
538,8,144.5,0,0,0,0,0
539,8,145.5,0,0,0,0,0
540,8,146.5,0,0,0,0,0
541,8,147.5,0,0,0,0,0
542,9,132,1,0,0,1,0
543,9,133,1,0,0,0,0
544,9,134,0,0,0,0,0
545,9,135,0,0,0,0,0
546,9,136,0,0,0,0,0
547,10,123.3,0,0,0,1,0
548,10,124.3,1,0,0,0,0
549,8,151.625,1,2,0,0,0
550,8,152.625,0,0,0,0,0
551,8,153.625,0,0,0,0,0
552,8,154.625,0,0,0,0,0
553,8,155.625,0,0,0,0,0
554,8,156.625,0,0,0,0,0
555,8,157.625,0,0,0,0,0
556,8,158.625,0,0,0,0,0
557,8,159.625,0,0,0,0,0
558,9,142.778,0,0,0,1,0
559,9,143.778,1,0,0,0,0
560,9,144.778,1,0,0,0,0
561,9,145.778,1,0,0,0,0
562,9,146.778,1,0,0,0,0
563,9,147.778,1,0,0,0,0
564,8,166.625,1,1,0,0,0
565,8,167.625,0,0,0,0,0
566,8,168.625,0,0,0,0,0
567,8,169.625,0,0,0,0,0
568,8,170.625,0,0,0,0,0
569,8,171.625,0,0,0,0,0
570,8,172.625,0,0,0,0,0
571,8,173.625,0,0,0,0,0
572,8,174.625,0,0,0,0,0
573,8,175.625,0,0,0,0,0
574,8,176.625,0,0,0,0,0
575,8,177.625,0,0,0,0,0
576,8,178.625,0,0,0,0,0
577,8,179.625,0,0,0,0,0
578,8,180.625,0,0,0,0,0
579,8,181.625,0,0,0,0,0
580,8,182.625,0,0,0,0,0
581,8,183.625,0,0,0,0,0
